field_name_adj,year,indicator,cost,indicator_name
Cymric,2016,m_capex_imputed,9.821279125,CapEx
Cymric,2017,m_opex_imputed,17.234002125,OpEx
Cymric,2017,m_capex_imputed,11.009447125,CapEx
Cymric,2018,m_opex_imputed,18.55317625,OpEx
Cymric,2018,m_capex_imputed,12.658624625,CapEx
Cymric,2019,m_opex_imputed,17.752105875,OpEx
Cymric,2019,m_capex_imputed,13.120791625,CapEx
Elk Hills,1977,m_opex_imputed,,OpEx
Elk Hills,1977,m_capex_imputed,,CapEx
Elk Hills,1978,m_opex_imputed,1.27293353333333,OpEx
Elk Hills,1978,m_capex_imputed,1.84177333333333,CapEx
Elk Hills,1979,m_opex_imputed,1.65195353333333,OpEx
Elk Hills,1979,m_capex_imputed,1.97747466666667,CapEx
Elk Hills,1980,m_opex_imputed,2.01303153333333,OpEx
Elk Hills,1980,m_capex_imputed,2.147399,CapEx
Elk Hills,1981,m_opex_imputed,2.57584453333333,OpEx
Elk Hills,1981,m_capex_imputed,2.91293433333333,CapEx
Elk Hills,1982,m_opex_imputed,3.21138686666667,OpEx
Elk Hills,1982,m_capex_imputed,3.326891,CapEx
Elk Hills,1983,m_opex_imputed,2.24305753333333,OpEx
Elk Hills,1983,m_capex_imputed,2.65027766666667,CapEx
Elk Hills,1984,m_opex_imputed,2.18864553333333,OpEx
Elk Hills,1984,m_capex_imputed,2.571025,CapEx
Elk Hills,1985,m_opex_imputed,5.33979666666667,OpEx
Elk Hills,1985,m_capex_imputed,2.67125633333333,CapEx
Elk Hills,1986,m_opex_imputed,3.32377133333333,OpEx
Elk Hills,1986,m_capex_imputed,2.46545033333333,CapEx
Elk Hills,1987,m_opex_imputed,3.407595,OpEx
Elk Hills,1987,m_capex_imputed,2.242169,CapEx
Elk Hills,1988,m_opex_imputed,3.322777,OpEx
Elk Hills,1988,m_capex_imputed,2.57940666666667,CapEx
Elk Hills,1989,m_opex_imputed,3.72637466666667,OpEx
Elk Hills,1989,m_capex_imputed,2.747128,CapEx
Elk Hills,1990,m_opex_imputed,4.398108,OpEx
Elk Hills,1990,m_capex_imputed,3.02517033333333,CapEx
Elk Hills,1991,m_opex_imputed,4.02988133333333,OpEx
Elk Hills,1991,m_capex_imputed,2.97845166666667,CapEx
Elk Hills,1992,m_opex_imputed,4.17583033333333,OpEx
Elk Hills,1992,m_capex_imputed,3.64661533333333,CapEx
Elk Hills,1993,m_opex_imputed,4.31052666666667,OpEx
Elk Hills,1993,m_capex_imputed,2.65999033333333,CapEx
Elk Hills,1994,m_opex_imputed,4.535789,OpEx
Elk Hills,1994,m_capex_imputed,2.705583,CapEx
Elk Hills,1995,m_opex_imputed,4.802491,OpEx
Elk Hills,1995,m_capex_imputed,2.751175,CapEx
Elk Hills,1996,m_opex_imputed,5.22952266666667,OpEx
Elk Hills,1996,m_capex_imputed,2.79676733333333,CapEx
Elk Hills,1997,m_opex_imputed,5.48853466666667,OpEx
Elk Hills,1997,m_capex_imputed,2.84235933333333,CapEx
Elk Hills,1998,m_opex_imputed,5.60426066666667,OpEx
Elk Hills,1998,m_capex_imputed,2.887952,CapEx
Elk Hills,1999,m_opex_imputed,6.65618833333333,OpEx
Elk Hills,1999,m_capex_imputed,2.933544,CapEx
Elk Hills,2000,m_opex_imputed,7.70583966666667,OpEx
Elk Hills,2000,m_capex_imputed,2.97913666666667,CapEx
Elk Hills,2001,m_opex_imputed,8.78397366666667,OpEx
Elk Hills,2001,m_capex_imputed,3.02472866666667,CapEx
Elk Hills,2002,m_opex_imputed,9.82211366666667,OpEx
Elk Hills,2002,m_capex_imputed,3.070321,CapEx
Elk Hills,2003,m_opex_imputed,11.2052066666667,OpEx
Elk Hills,2003,m_capex_imputed,3.115913,CapEx
Elk Hills,2004,m_opex_imputed,12.5278956666667,OpEx
Elk Hills,2004,m_capex_imputed,3.16150533333333,CapEx
Elk Hills,2005,m_opex_imputed,13.90587,OpEx
Elk Hills,2005,m_capex_imputed,3.207098,CapEx
Elk Hills,2006,m_opex_imputed,15.5430133333333,OpEx
Elk Hills,2006,m_capex_imputed,3.25269,CapEx
Elk Hills,2007,m_opex_imputed,17.3472566666667,OpEx
Elk Hills,2007,m_capex_imputed,3.29828233333333,CapEx
Elk Hills,2008,m_opex_imputed,21.9520633333333,OpEx
Elk Hills,2008,m_capex_imputed,3.34387433333333,CapEx
Elk Hills,2009,m_opex_imputed,20.8288366666667,OpEx
Elk Hills,2009,m_capex_imputed,3.38946666666667,CapEx
Elk Hills,2010,m_opex_imputed,21.7989866666667,OpEx
Elk Hills,2010,m_capex_imputed,3.435059,CapEx
Elk Hills,2011,m_opex_imputed,23.5707833333333,OpEx
Elk Hills,2011,m_capex_imputed,3.48065166666667,CapEx
Elk Hills,2012,m_opex_imputed,24.0092766666667,OpEx
Elk Hills,2012,m_capex_imputed,3.52624366666667,CapEx
Elk Hills,2013,m_opex_imputed,24.8436366666667,OpEx
Elk Hills,2013,m_capex_imputed,3.571836,CapEx
Elk Hills,2014,m_opex_imputed,23.8829666666667,OpEx
Elk Hills,2014,m_capex_imputed,3.617428,CapEx
Elk Hills,2015,m_opex_imputed,20.1105066666667,OpEx
Elk Hills,2015,m_capex_imputed,3.66302033333333,CapEx
Elk Hills,2016,m_opex_imputed,18.3235233333333,OpEx
Elk Hills,2016,m_capex_imputed,3.70861266666667,CapEx
Elk Hills,2017,m_opex_imputed,17.8816256666667,OpEx
Elk Hills,2017,m_capex_imputed,4.88242833333333,CapEx
Elk Hills,2018,m_opex_imputed,21.1068966666667,OpEx
Elk Hills,2018,m_capex_imputed,2.67157366666667,CapEx
Elk Hills,2019,m_opex_imputed,20.6081366666667,OpEx
Elk Hills,2019,m_capex_imputed,3.84538933333333,CapEx
Kern River,1977,m_opex_imputed,,OpEx
Kern River,1977,m_capex_imputed,,CapEx
Kern River,1978,m_opex_imputed,1.45715515,OpEx
Kern River,1978,m_capex_imputed,2.85362635,CapEx
Kern River,1979,m_opex_imputed,2.02691948333333,OpEx
Kern River,1979,m_capex_imputed,2.95020951666667,CapEx
Kern River,1980,m_opex_imputed,3.03690548333333,OpEx
Kern River,1980,m_capex_imputed,3.18117175,CapEx
Kern River,1981,m_opex_imputed,4.74205998333333,OpEx
Kern River,1981,m_capex_imputed,3.59185793333333,CapEx
Kern River,1982,m_opex_imputed,7.57746498333333,OpEx
Kern River,1982,m_capex_imputed,3.97730786666667,CapEx
Kern River,1983,m_opex_imputed,4.40612486666667,OpEx
Kern River,1983,m_capex_imputed,3.45312413333333,CapEx
Kern River,1984,m_opex_imputed,4.42079951666667,OpEx
Kern River,1984,m_capex_imputed,3.42278188333333,CapEx
Kern River,1985,m_opex_imputed,7.39115991666667,OpEx
Kern River,1985,m_capex_imputed,3.47392058333333,CapEx
Kern River,1986,m_opex_imputed,4.71718991666667,OpEx
Kern River,1986,m_capex_imputed,4.508187,CapEx
Kern River,1987,m_opex_imputed,4.80366108333333,OpEx
Kern River,1987,m_capex_imputed,3.81550828333333,CapEx
Kern River,1988,m_opex_imputed,4.75585325,OpEx
Kern River,1988,m_capex_imputed,3.59922416666667,CapEx
Kern River,1989,m_opex_imputed,5.13501308333333,OpEx
Kern River,1989,m_capex_imputed,3.42455408333333,CapEx
Kern River,1990,m_opex_imputed,5.96679608333333,OpEx
Kern River,1990,m_capex_imputed,3.4584663,CapEx
Kern River,1991,m_opex_imputed,5.56510258333333,OpEx
Kern River,1991,m_capex_imputed,3.43270481666667,CapEx
Kern River,1992,m_opex_imputed,4.69104825,OpEx
Kern River,1992,m_capex_imputed,3.29177591666667,CapEx
Kern River,1993,m_opex_imputed,4.38569041666667,OpEx
Kern River,1993,m_capex_imputed,3.29697003333333,CapEx
Kern River,1994,m_opex_imputed,4.29400925,OpEx
Kern River,1994,m_capex_imputed,3.31044683333333,CapEx
Kern River,1995,m_opex_imputed,4.27777875,OpEx
Kern River,1995,m_capex_imputed,3.4067442,CapEx
Kern River,1996,m_opex_imputed,4.61909041666667,OpEx
Kern River,1996,m_capex_imputed,3.56280426666667,CapEx
Kern River,1997,m_opex_imputed,4.55033625,OpEx
Kern River,1997,m_capex_imputed,3.75454886666667,CapEx
Kern River,1998,m_opex_imputed,4.16567325,OpEx
Kern River,1998,m_capex_imputed,3.82211895,CapEx
Kern River,1999,m_opex_imputed,4.72644808333333,OpEx
Kern River,1999,m_capex_imputed,3.71035025,CapEx
Kern River,2000,m_opex_imputed,5.24456841666667,OpEx
Kern River,2000,m_capex_imputed,3.87656575,CapEx
Kern River,2001,m_opex_imputed,5.83920708333333,OpEx
Kern River,2001,m_capex_imputed,4.516778,CapEx
Kern River,2002,m_opex_imputed,6.21985258333333,OpEx
Kern River,2002,m_capex_imputed,4.84512931666667,CapEx
Kern River,2003,m_opex_imputed,7.33898491666667,OpEx
Kern River,2003,m_capex_imputed,4.872921,CapEx
Kern River,2004,m_opex_imputed,8.41466258333333,OpEx
Kern River,2004,m_capex_imputed,5.34880365,CapEx
Kern River,2005,m_opex_imputed,9.99513008333333,OpEx
Kern River,2005,m_capex_imputed,6.77079633333333,CapEx
Kern River,2006,m_opex_imputed,12.21762825,OpEx
Kern River,2006,m_capex_imputed,4.52449616666667,CapEx
Kern River,2007,m_opex_imputed,15.1129898333333,OpEx
Kern River,2007,m_capex_imputed,4.53952733333333,CapEx
Kern River,2008,m_opex_imputed,19.2787376666667,OpEx
Kern River,2008,m_capex_imputed,4.61510033333333,CapEx
Kern River,2009,m_opex_imputed,18.54922,OpEx
Kern River,2009,m_capex_imputed,4.96595516666667,CapEx
Kern River,2010,m_opex_imputed,19.61817,OpEx
Kern River,2010,m_capex_imputed,4.54852183333333,CapEx
Kern River,2011,m_opex_imputed,21.5548866666667,OpEx
Kern River,2011,m_capex_imputed,4.46053261666667,CapEx
Kern River,2012,m_opex_imputed,21.978125,OpEx
Kern River,2012,m_capex_imputed,6.965964,CapEx
Kern River,2013,m_opex_imputed,22.77864,OpEx
Kern River,2013,m_capex_imputed,10.0757655,CapEx
Kern River,2014,m_opex_imputed,22.6101133333333,OpEx
Kern River,2014,m_capex_imputed,8.95675916666667,CapEx
Kern River,2015,m_opex_imputed,18.6868566666667,OpEx
Kern River,2015,m_capex_imputed,7.56882683333333,CapEx
Kern River,2016,m_opex_imputed,17.376045,OpEx
Kern River,2016,m_capex_imputed,7.825877,CapEx
Kern River,2017,m_opex_imputed,18.1833983333333,OpEx
Kern River,2017,m_capex_imputed,7.58247716666667,CapEx
Kern River,2018,m_opex_imputed,19.4746716666667,OpEx
Kern River,2018,m_capex_imputed,9.12797166666667,CapEx
Kern River,2019,m_opex_imputed,18.5838233333333,OpEx
Kern River,2019,m_capex_imputed,9.56813883333333,CapEx
Lost Hills,1977,m_opex_imputed,,OpEx
Lost Hills,1977,m_capex_imputed,,CapEx
Lost Hills,1978,m_opex_imputed,1.4104474875,OpEx
Lost Hills,1978,m_capex_imputed,4.083275925,CapEx
Lost Hills,1979,m_opex_imputed,1.9967084875,OpEx
Lost Hills,1979,m_capex_imputed,4.211545925,CapEx
Lost Hills,1980,m_opex_imputed,2.9177532375,OpEx
Lost Hills,1980,m_capex_imputed,4.4732609375,CapEx
Lost Hills,1981,m_opex_imputed,4.4602689875,OpEx
Lost Hills,1981,m_capex_imputed,5.1189797,CapEx
Lost Hills,1982,m_opex_imputed,6.9190177375,OpEx
Lost Hills,1982,m_capex_imputed,5.6081704,CapEx
Lost Hills,1983,m_opex_imputed,4.081701025,OpEx
Lost Hills,1983,m_capex_imputed,4.872140475,CapEx
Lost Hills,1984,m_opex_imputed,4.0703922625,OpEx
Lost Hills,1984,m_capex_imputed,4.8033026625,CapEx
Lost Hills,1985,m_opex_imputed,6.2839608125,OpEx
Lost Hills,1985,m_capex_imputed,4.8847515625,CapEx
Lost Hills,1986,m_opex_imputed,4.0399493125,OpEx
Lost Hills,1986,m_capex_imputed,5.521844875,CapEx
Lost Hills,1987,m_opex_imputed,4.1394219375,OpEx
Lost Hills,1987,m_capex_imputed,4.942180875,CapEx
Lost Hills,1988,m_opex_imputed,4.0887069375,OpEx
Lost Hills,1988,m_capex_imputed,4.87763975,CapEx
Lost Hills,1989,m_opex_imputed,4.4638813125,OpEx
Lost Hills,1989,m_capex_imputed,4.8118825625,CapEx
Lost Hills,1990,m_opex_imputed,5.2170515625,OpEx
Lost Hills,1990,m_capex_imputed,4.937294725,CapEx
Lost Hills,1991,m_opex_imputed,4.8317401875,OpEx
Lost Hills,1991,m_capex_imputed,4.8886966125,CapEx
Lost Hills,1992,m_opex_imputed,4.3370344375,OpEx
Lost Hills,1992,m_capex_imputed,5.01753815,CapEx
Lost Hills,1993,m_opex_imputed,4.1866510625,OpEx
Lost Hills,1993,m_capex_imputed,4.6428598125,CapEx
Lost Hills,1994,m_opex_imputed,4.2011414375,OpEx
Lost Hills,1994,m_capex_imputed,4.66263845,CapEx
Lost Hills,1995,m_opex_imputed,4.2738921875,OpEx
Lost Hills,1995,m_capex_imputed,4.756408275,CapEx
Lost Hills,1996,m_opex_imputed,4.6213851875,OpEx
Lost Hills,1996,m_capex_imputed,4.89913495,CapEx
Lost Hills,1997,m_opex_imputed,4.6539893125,OpEx
Lost Hills,1997,m_capex_imputed,5.08218015,CapEx
Lost Hills,1998,m_opex_imputed,4.4453555625,OpEx
Lost Hills,1998,m_capex_imputed,5.1527379625,CapEx
